RNK|BEST_PERFORMING|WORST_PERFORMING|
 1|callyableableationought                           |oughtpri                                          |
 2|ableesen stese                                    |prin stoughtn st                                  |
 3|priablecallycallyought                            |callyoughtprioughtought                           |
 4|n stoughtn stn st                                 |barpriese                                         |
 5|oughteingantiableought                            |eingeingableantiought                             |
 6|ablepriableantiought                              |barn stableantiought                              |
 7|oughteingantioughtought                           |eingbaroughtanti                                  |
 8|eingationableableought                            |n steingationcallyought                           |
 9|eseeingn steseought                               |oughtationationantiought                          |
 10|prioughtcallyableought                            |oughteingbarable                                  |
